Laarbeek;22333
Landerd;15529
Landgraaf;37591
Landsmeer;11488
Langbroek;
Lange Ruige Weide;
Langedijk;27992
Langerak;
Lansingerland;61601
Laren (Gld.);
Laren (NH.);11195
Leek;
Leende;
Leens;
Leerbroek;
Leerdam;
Leersum;
Leeuwarden;123107
Leeuwarderadeel;
Leiden;124899
Leiderdorp;27109
Leidschendam;
Leidschendam-Voorburg;75425
Leimuiden;
Lekkerkerk;
Lelystad;77893
Lemsterland;
Leudal;35681
Leusden;30030
Lexmond;
Lichtenvoorde;
Liemeer;
Liempde;
Lienden;
De Lier;
Lieshout;
Liesveld;
Limbricht;
Limmen;
Lingewaal;
Lingewaard;46475
Linne;
Linschoten;
Lisse;22800
Lith;
Littenseradeel;
Littenseradiel;
Lochem;33590
Loenen;
Loenersloot;
Loon op Zand;23327
Loosdrecht;
Lopik;14473
Loppersum;9614
Losser;22622
Luyksgestel;
Maarheeze;
Maarn;
Maarssen;
Maartensdijk;
Maasbracht;
Maasbree;
Maasdam;
Maasdonk;
Maasdriel;24693
Maasgouw;23716
Maasland;
Maassluis;32768
Maastricht;121565
Made;
Made en Drimmelen;
Margraten;
Mariekerke;
Markelo;
Marken;
De Marne;
Marum;
Maurik;
Medemblik;44809
Meeden;
Meerkerk;
Meerlo;
Meerlo-Wanssum;
Meerssen;18923
Megen, Haren en Macharen;
Meierijstad;80815
Meijel;
Melick en Herkenbosch;
Meliskerke;
Melissant;
Menaldumadeel;
Menameradiel;
Menterwolde;
Meppel;33564
Merkelbeek;
Mheer;
Middelburg (Z.);48544
Middelharnis;
Middelie;
Middelstum;
Midden-Delfland;19391
Midden-Drenthe;33178
Midden-Groningen;60899
Middenschouwen;
Middenveld;
Midwolda;
Midwoud;
Mierlo;
Mijdrecht;
Mijnsheerenland;
Mill en Sint Hubert;10891
Millingen aan de Rijn;
Moerdijk;36961
Moergestel;
Moerhuizen;
Moerkapelle;
Molenaarsgraaf;
Molenlanden;43858
Molenwaard;
Monnickendam;
Monster;
Montferland;36026
Montfoort;13996
Montfort;
Mook en Middelaar;7806
Moordrecht;
Muiden;
Munstergeleen;
Muntendam;
Naaldwijk;
Naarden;
Neder-Betuwe;24034
Nederhorst den Berg;
Nederlek;
Nederweert;17001
Neede;
Neer;
Neerijnen;
Nibbixwoud;
Niedorp;
Nieuw- en Sint Joosland;
Nieuw-Beijerland;
Nieuwe Pekela;
Nieuwe Tonge;
Nieuwegein;63036
Nieuwenhagen;
Nieuwe-Niedorp;
Nieuwer-Amstel;
Nieuwerkerk;
Nieuwerkerk aan den IJssel;
Nieuweschans;
Nieuw-Ginneken;
Nieuwkoop;28628
Nieuwland;
Nieuw-Lekkerland;
Nieuwleusen;
Nieuwolda;
Nieuwpoort;
Nieuwstadt;
Nieuwveen;
Nieuwvliet;
Nieuw-Vossemeer;
Nigtevecht;
Nijefurd;
Nijeveen;
Nijkerk;42943
Nijmegen;176731
Nisse;
Nissewaard;84797
Nistelrode;
Noardeast-Fryslân;45181
Noorbeek;
Noord-Beveland;7308
Noordbroek;
Noorddijk;
Noordeloos;
Noordenveld;31290
Noorder-Koggenland;
Noordgouwe;
De Noordoostelijke Polder;
Noordoostpolder;46849
Noordwelle;
Noordwijk;42859
Noordwijkerhout;
Nootdorp;
Norg;
Nuenen, Gerwen en Nederwetten;23186
Nuland;
Numansdorp;
Nunspeet;27481
Nuth;
Obbicht en Papenhoven;
Obdam;
Odijk;
Odoorn;
Oeffelt;
Oegstgeest;24426
Ohé en Laak;
Oirsbeek;
Oirschot;18623
Oisterwijk;26140
Oldambt;38129
Oldebroek;23598
Oldehove;
Oldekerk;
Oldemarkt;
Oldenzaal;31840
Olst;
Olst-Wijhe;18071
Ommen;17813
Onderbanken;
Onstwedde;
Ooltgensplaat;
Oost Gelre;29704
Oost- en West-Souburg;
Oost-, West- en Middelbeers;
Oostburg;
Oostdongeradeel;
Oosterbroek;
Oosterhesselen;
Oosterhout;55616
Oosterland;
Oostflakkee;
Oosthuizen;
Oostkapelle;
Ooststellingwerf;25497
Oostvoorne;
Oostzaan;9757
Ootmarsum;
Openbaar Lichaam Z.IJ.P.;
Ophemert;
Oploo, Sint Anthonis en Ledeacker;
Opmeer;11779
Opperdoes;
Opsterland;29723
Oss;91451
Ossendrecht;
Oterleek;
Ottersum;
Ottoland;
Oud en Nieuw Gastel;
Oud-Alblas;
Oud-Beijerland;
Ouddorp;
Oude IJsselstreek;39473
Oude Pekela;
Oudelande;
Oudenbosch;
Oudendijk;
Oudenhoorn;
Oude-Niedorp;
Ouder-Amstel;13916
Ouderkerk;
Ouderkerk aan den IJssel;
Oude-Tonge;
Oudewater;10201
Oudorp;
Oud-Vossemeer;
Ouwerkerk;
Overasselt;
Overbetuwe;47543
Overslag;
Ovezande;
Pannerden;
Papekop;
Papendrecht;32290
Peel en Maas;43311
Peize;
Pekela;12214
Philippine;
Piershil;
Pijnacker;
Pijnacker-Nootdorp;54331
Polsbroek;
Poortugaal;
Poortvliet;
Posterholt;
Prinsenbeek;
Purmerend;80117
Putte;
Putten;24198
Puttershoek;
Raalte;37511
Raamsdonk;
Rauwerderhem;
Ravenstein;
Reeuwijk;
Reiderland;
Reimerswaal;22678
Renesse;
Renkum;31302
Renswoude;5259
Retranchement;
Reusel;
Reusel-De Mierden;13060
Rheden;43640
Rhenen;20004
Rhoon;
Ridderkerk;46241
Riethoven;
Rietveld;
Rijneveld;
Rijnsaterwoude;
Rijnsburg;
Rijnwaarden;
Rijnwoude;
De Rijp;
Rijsbergen;
Rijssen;
Rijssen-Holten;38300
Rijswijk (NB.);
Rijswijk (ZH.);53467
Rilland-Bath;
Ritthem;
Rockanje;
Roden;
Roerdalen;20615
Roermond;58209
Roggel;
Roggel en Neer;
Rolde;
De Ronde Venen;44059
Roosendaal;77032
Roosendaal en Nispen;
Roosteren;
Rosmalen;
Rossum;
Rotterdam;644618
Rozenburg;
Rozendaal;1654
Rucphen;22572
Ruinen;
Ruinerwold;
Ruurlo;
Ruwiel;
Sas van Gent;
Sassenheim;
Schaesberg;
Schagen;46553
Schaijk;
Schalkwijk;
Scharsterland;
Scheemda;
Schellinkhout;
Schelluinen;
Schermer;
Schermerhorn;
Scherpenisse;
Scherpenzeel;9873
Schiedam;77999
Schiermonnikoog;936
Schijndel;
Schimmert;
Schinnen;
Schinveld;
Schipluiden;
Schoondijke;
Schoonebeek;
Schoonhoven;
Schoonrewoerd;
Schoorl;
Schouwen-Duiveland;33779
Serooskerke (Schouwen-Duivenland);
Serooskerke (Walcheren);
Sevenum;
Sijbekarspel;
Simpelveld;10516
Sint Anthonis;11606
Sint Geertruid;
Sint Jansteen;
Sint Laurens;
Sint Maarten;
Sint Odilienberg;
Sint Pancras;
Sint Philipsland;
Sint-Annaland;
Sint-Maartensdijk;
Sint-Michielsgestel;28991
Sint-Oedenrode;
Sittard;
Sittard-Geleen;92661
Skarsterlân;
Sleen;
Slenaken;
Sliedrecht;25026
Slochteren;
Sloten (F.);
Sluis;23386
Sluis (oud);
Sluis-Aardenburg;
Smallingerland;55938
Smilde;
Sneek;
Snelrewaard;
Soest;46194
Someren;19322
Sommelsdijk;
Son en Breugel;16904
Spaubeek;
Spijkenisse;
Sprang-Capelle;
St. Anthonis;
Stad aan 't Haringvliet;
Stad Delden;
Stadskanaal;31789
Standdaarbuiten;
Staphorst;17003
Stavenisse;
Stavoren;
Stede Broec;21706
Stedum;
Steenbergen;25054
Steenbergen en Kruisland;
Steenderen;
Steenwijk;
Steenwijkerland;43940
Steenwijkerwold;
Stein (L.);24961
Stellendam;
Stevensweert;
Stichtse Vecht;64336
Stiphout;
Stolwijk;
Stoutenburg;
Stramproy;
Streefkerk;
Strijen;
Súdwest-Fryslân;89710
Susteren;
Swalmen;
Tegelen;
Terheijden;
Termunten;
Terneuzen;54589
Terschelling;4890
Teteringen;
Texel;13547
Teylingen;37061
Tholen;25780
Thorn;
Tiel;41978
Tienhoven (ZH.);
Tietjerksteradeel;
Tilburg;217259
Tubbergen;21276
Tudderen (Drostambt);
Tull en 't Waal;
Twenterand;33792
Twisk;
Tynaarlo;33698
Tytsjerksteradiel;31780
Ubach over Worms;
Ubbergen;
Uden;41782
Udenhout;
Uitgeest;13528
Uithoorn;29424
Uithuizen;
Uithuizermeeden;
Ulestraten;
Ulrum;
Urk;20776
Urmond;
Ursem;
Usquert;
Utingeradeel;
Utrecht (gemeente);352866
Utrechtse Heuvelrug;49515
Vaals;10092
Valburg;
Valkenburg (ZH.);
Valkenburg aan de Geul;16470
Valkenburg-Houthem;
Valkenisse;
Valkenswaard;30910
Varik;
Veen;
Veendam;27491
Veenendaal;65589
Veere;21835
